index,bruises,cap_color,cap_shape,cap_surface,class,gill_attachment,gill_color,gill_size,gill_spacing,habitat,odor,population,ring_number,ring_type,spore_print_color,stalk_color_above_ring,stalk_color_below_ring,stalk_root,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,veil_color,veil_type
3316,t,g,f,y,e,f,w,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w,p
7503,f,e,k,s,p,f,b,n,c,d,f,v,o,e,w,w,p,?,t,k,k,w,p
7987,f,n,b,y,e,f,w,b,c,p,n,y,t,p,w,n,n,b,e,y,y,w,p
4887,f,y,x,y,p,f,g,b,c,g,f,v,o,l,h,n,n,b,e,k,k,w,p
1048,t,n,f,y,p,f,n,n,c,u,p,s,o,p,n,w,w,e,e,s,s,w,p
3589,t,g,f,f,e,f,p,b,c,d,n,v,o,p,n,p,p,b,t,s,s,w,p
5187,f,e,x,y,p,f,b,n,c,d,y,v,o,e,w,w,w,?,t,k,s,w,p
7327,f,e,x,y,p,f,b,n,c,d,f,v,o,e,w,p,w,?,t,s,s,w,p
412,f,n,x,s,e,f,n,b,w,g,n,s,o,e,k,w,w,e,t,f,f,w,p
3225,t,g,x,f,e,f,n,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w,p
5319,f,n,x,y,e,f,w,n,w,l,n,v,o,e,w,w,n,b,e,s,f,w,p
5545,t,e,k,y,e,f,w,b,c,w,n,c,t,e,w,w,w,?,e,s,s,w,p
3219,f,g,x,s,p,f,g,n,w,d,c,v,o,p,k,w,w,b,e,s,s,w,p
5437,f,u,x,y,e,f,p,n,c,d,n,y,o,f,h,w,w,?,e,s,f,w,p
1160,f,g,f,s,e,f,h,b,w,g,n,s,o,e,k,w,w,e,t,f,f,w,p
6748,f,n,f,s,p,f,b,n,c,p,s,v,o,e,w,p,p,?,t,s,s,w,p
1777,f,w,x,f,e,f,n,b,w,g,n,a,o,e,k,w,w,e,t,f,s,w,p
7138,f,e,k,s,p,f,b,n,c,d,y,v,o,e,w,w,p,?,t,s,s,w,p
428,t,w,b,s,e,f,k,b,c,m,a,n,o,p,n,w,w,c,e,s,s,w,p
2667,t,n,x,y,e,f,n,b,c,d,n,v,o,p,n,w,g,b,t,s,s,w,p
6066,f,n,f,y,p,f,b,n,c,l,s,v,o,e,w,p,w,?,t,s,s,w,p
3524,t,g,f,f,e,f,w,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w,p
7241,f,e,k,s,p,f,b,n,c,p,y,v,o,e,w,p,p,?,t,k,k,w,p
1669,t,g,x,y,e,f,n,b,c,d,n,v,o,p,n,p,g,b,t,s,s,w,p
4920,f,g,f,y,p,f,p,b,c,g,f,y,o,l,h,p,p,b,e,k,k,w,p
507,f,g,x,s,e,f,p,b,w,g,n,s,o,e,n,w,w,e,t,s,s,w,p
1316,f,n,f,f,e,f,k,b,w,g,n,s,o,e,n,w,w,e,t,f,f,w,p
5055,f,g,x,y,p,f,p,b,c,d,f,y,o,l,h,p,p,b,e,k,k,w,p
4946,t,p,k,s,e,f,w,b,c,w,n,c,t,e,w,e,e,?,e,s,s,w,p
6771,f,e,f,y,p,f,b,n,c,p,y,v,o,e,w,p,p,?,t,s,s,w,p
3839,t,e,f,y,e,f,p,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
4253,f,y,x,y,p,f,g,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w,p
5677,t,g,x,s,p,f,h,b,c,g,f,v,o,p,h,w,w,b,t,f,f,w,p
1066,t,y,f,f,e,f,p,n,w,d,l,v,o,p,u,w,w,b,t,s,s,w,p
6015,f,e,f,s,p,f,b,n,c,l,y,v,o,e,w,w,p,?,t,k,k,w,p
4874,f,g,f,y,p,f,g,b,c,g,f,y,o,l,h,p,b,b,e,k,k,w,p
2769,t,g,x,y,e,f,w,b,c,d,n,y,o,p,k,g,g,b,t,s,s,w,p
7529,f,g,b,f,e,f,g,b,w,g,n,s,t,p,w,w,w,?,e,k,k,w,p
5944,f,y,x,f,p,f,p,b,c,g,f,v,o,l,h,n,n,b,e,k,k,w,p
355,t,y,x,y,e,f,w,b,c,p,l,s,o,p,k,w,w,r,e,s,y,w,p
2760,t,n,f,f,e,f,w,b,c,d,n,y,o,p,n,w,w,b,t,s,s,w,p
3672,t,e,f,f,e,f,u,b,c,d,n,v,o,p,k,w,w,b,t,s,s,w,p
229,t,n,x,y,p,f,p,n,c,u,p,v,o,p,k,w,w,e,e,s,s,w,p
3074,f,g,x,f,p,f,p,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w,p
3571,f,g,f,f,p,f,p,b,c,d,f,y,o,l,h,n,p,b,e,k,k,w,p
5193,f,n,x,y,p,f,b,n,c,d,s,v,o,e,w,w,w,?,t,s,s,w,p
4138,f,g,f,y,p,f,h,b,c,p,f,v,o,l,h,b,n,b,e,k,k,w,p
3291,t,g,f,y,e,f,p,b,c,d,n,y,o,p,k,g,w,b,t,s,s,w,p
1407,f,w,x,s,e,f,h,b,w,g,n,a,o,e,k,w,w,e,t,f,f,w,p
483,t,w,f,s,e,f,p,n,w,d,l,v,o,p,u,w,w,b,t,s,s,w,p
5024,f,u,f,y,e,f,p,n,c,d,n,v,o,f,h,w,w,?,e,s,f,w,p
3696,t,n,f,y,e,f,w,b,c,d,n,y,o,p,n,g,w,b,t,s,s,w,p
4777,f,g,f,f,p,f,p,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w,p
6783,f,e,x,y,p,f,b,n,c,p,y,v,o,e,w,w,p,?,t,s,s,w,p
4871,f,g,f,f,p,f,h,b,c,p,f,v,o,l,h,b,n,b,e,k,k,w,p
4779,f,y,f,f,p,f,p,b,c,d,f,v,o,l,h,n,p,b,e,k,k,w,p
5360,f,y,f,y,p,f,h,b,c,p,f,y,o,l,h,b,b,b,e,k,k,w,p
6978,f,e,x,s,p,f,b,n,c,p,y,v,o,e,w,p,w,?,t,s,k,w,p
4231,f,g,x,f,p,f,h,b,c,d,f,y,o,l,h,n,b,b,e,k,k,w,p
7522,f,n,k,s,p,f,b,n,c,l,f,v,o,e,w,p,p,?,t,k,k,w,p
5546,t,w,f,s,p,f,p,b,c,u,f,v,o,p,h,w,w,b,t,s,f,w,p
5936,f,y,b,y,p,f,w,n,c,d,n,v,o,e,w,w,n,?,e,k,y,w,p
3140,t,g,f,y,e,f,u,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w,p
2346,t,g,x,y,e,f,u,b,c,d,n,v,o,p,k,g,p,b,t,s,s,w,p
2014,f,n,f,f,e,f,k,b,w,g,n,a,o,e,k,w,w,e,t,s,s,w,p
1119,f,n,f,f,e,f,k,b,w,g,n,s,o,e,k,w,w,e,t,f,s,w,p
